work_year,experience_level,exp_grade,job_title,job_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,comp_size_grade,usd_salary_zscore
2021,MI,2,Data Engineer,Engineer,100000,USD,100000,US,100,US,L,3,-0.19401590469062163
2021,MI,2,Data Engineer,Engineer,90000,USD,90000,US,100,US,L,3,-0.3380720757766197
2021,SE,3,Data Engineering Manager,Manager/Executive,153000,USD,153000,US,100,US,L,3,0.5694818020651681
2021,SE,3,Cloud Data Engineer,Engineer,160000,USD,160000,BR,100,US,S,1,0.6703211218253667
2021,MI,2,Data Scientist,Scientist,150000,USD,150000,US,100,US,M,2,0.5262649507393687
2021,SE,3,Data Science Manager,Manager/Executive,144000,USD,144000,US,100,US,L,3,0.43983124808776985
2021,SE,3,Data Analytics Manager,Manager/Executive,120000,USD,120000,US,100,US,M,2,0.09409643748137449
2021,EN,1,Machine Learning Engineer,Engineer,125000,USD,125000,US,100,US,S,1,0.16612452302437353
2021,EN,1,Data Engineer,Engineer,80000,USD,80000,US,100,US,L,3,-0.4821282468626178
2021,EX,4,Director of Data Science,Manager/Executive,250000,USD,250000,US,0,US,L,3,1.966826661599349
2021,EN,1,BI Data Analyst,Analyst,55000,USD,55000,US,50,US,S,1,-0.8422686745776129
2021,MI,2,Data Architect,Architect,150000,USD,150000,US,100,US,L,3,0.5262649507393687
2021,MI,2,Data Architect,Architect,170000,USD,170000,US,100,US,L,3,0.8143772929113648
2021,EN,1,Data Analyst,Analyst,60000,USD,60000,US,100,US,S,1,-0.7702405890346139
2021,SE,3,Principal Data Scientist,Scientist,235000,USD,235000,US,100,US,L,3,1.7507424049703522
2021,SE,3,Data Engineering Manager,Manager/Executive,174000,USD,174000,US,100,US,L,3,0.8719997613457641
2021,EN,1,Machine Learning Engineer,Engineer,81000,USD,81000,US,50,US,S,1,-0.46772262975401796
2021,MI,2,Data Engineer,Engineer,22000,EUR,26005,RO,0,US,L,3,-1.2599595426414643
2021,SE,3,Data Science Manager,Manager/Executive,174000,USD,174000,US,100,US,L,3,0.8719997613457641
2021,MI,2,Data Scientist,Scientist,147000,USD,147000,US,50,US,L,3,0.48304809941356924
2021,SE,3,Data Science Manager,Manager/Executive,4000000,INR,54094,IN,50,US,L,3,-0.8553201636780043
2021,EN,1,Data Science Consultant,Consultant,90000,USD,90000,US,100,US,S,1,-0.3380720757766197
2021,SE,3,Machine Learning Infrastructure Engineer,Engineer,195000,USD,195000,US,100,US,M,2,1.17451772062636
2021,SE,3,Research Scientist,Scientist,50000,USD,50000,FR,100,US,S,1,-0.914296760120612
2021,MI,2,Data Scientist,Scientist,160000,USD,160000,US,100,US,L,3,0.6703211218253667
2021,SE,3,Machine Learning Engineer,Engineer,200000,USD,200000,US,100,US,L,3,1.246545806169359
2021,SE,3,Data Engineer,Engineer,165000,USD,165000,US,0,US,M,2,0.7423492073683657
2021,SE,3,Data Analytics Manager,Manager/Executive,120000,USD,120000,US,0,US,L,3,0.09409643748137449
2021,SE,3,Principal Data Engineer,Engineer,185000,USD,185000,US,100,US,L,3,1.030461549540362
2021,SE,3,Data Analytics Manager,Manager/Executive,140000,USD,140000,US,100,US,L,3,0.38220877965337063
2021,SE,3,Data Scientist,Scientist,135000,USD,135000,US,0,US,L,3,0.3101806941103716
2021,SE,3,ML Engineer,Engineer,256000,USD,256000,US,100,US,S,1,2.053260364250948
2021,SE,3,Director of Data Engineering,Manager/Executive,200000,USD,200000,US,100,US,L,3,1.246545806169359
2021,SE,3,Data Analyst,Analyst,200000,USD,200000,US,100,US,L,3,1.246545806169359
2021,MI,2,Data Architect,Architect,180000,USD,180000,US,100,US,L,3,0.9584334639973628
2021,MI,2,Head of Data Science,Manager/Executive,110000,USD,110000,US,0,US,S,1,-0.04995973360462357
2021,MI,2,Data Analyst,Analyst,80000,USD,80000,US,100,US,L,3,-0.4821282468626178
2021,MI,2,Data Engineer,Engineer,110000,USD,110000,US,100,US,L,3,-0.04995973360462357
2021,SE,3,Data Scientist,Scientist,165000,USD,165000,US,100,US,L,3,0.7423492073683657
2021,SE,3,Principal Data Analyst,Analyst,170000,USD,170000,US,100,US,M,2,0.8143772929113648
2021,MI,2,Data Scientist,Scientist,115000,USD,115000,US,50,US,L,3,0.022068351938375457
2021,EN,1,Data Scientist,Scientist,90000,USD,90000,US,100,US,S,1,-0.3380720757766197
2021,MI,2,Data Analyst,Analyst,93000,USD,93000,US,100,US,L,3,-0.2948552244508203
2021,MI,2,Data Engineer,Engineer,200000,USD,200000,US,100,US,L,3,1.246545806169359
2021,SE,3,Machine Learning Engineer,Engineer,185000,USD,185000,US,50,US,L,3,1.030461549540362
2021,MI,2,Data Scientist,Scientist,130000,USD,130000,US,50,US,L,3,0.23815260856737255
2021,SE,3,Lead Data Engineer,Engineer,160000,USD,160000,PR,50,US,S,1,0.6703211218253667
2021,MI,2,Data Engineer,Engineer,93150,USD,93150,US,0,US,M,2,-0.29269438188453034
2021,MI,2,Data Engineer,Engineer,111775,USD,111775,US,0,US,M,2,-0.02438976323685892
2021,EN,1,Data Engineer,Engineer,72500,USD,72500,US,100,US,L,3,-0.5901703751771163
2021,EN,1,Data Scientist,Scientist,100000,USD,100000,US,100,US,M,2,-0.19401590469062163
2021,EN,1,Data Scientist,Scientist,58000,USD,58000,US,50,US,L,3,-0.7990518232518136
2021,MI,2,Data Engineer,Engineer,112000,USD,112000,US,100,US,L,3,-0.021148499387423962
2021,MI,2,Data Scientist,Scientist,109000,USD,109000,US,50,US,L,3,-0.06436535071322338
2022,SE,3,Data Engineer,Engineer,135000,USD,135000,US,100,US,M,2,0.3101806941103716
2022,SE,3,Data Analyst,Analyst,155000,USD,155000,US,100,US,M,2,0.5982930362823677
2022,SE,3,Data Analyst,Analyst,120600,USD,120600,US,100,US,M,2,0.10273980774653438
2022,MI,2,Data Scientist,Scientist,130000,USD,130000,US,0,US,M,2,0.23815260856737255
2022,MI,2,Data Scientist,Scientist,90000,USD,90000,US,0,US,M,2,-0.3380720757766197
2022,MI,2,Data Engineer,Engineer,170000,USD,170000,US,100,US,M,2,0.8143772929113648
2022,MI,2,Data Engineer,Engineer,150000,USD,150000,US,100,US,M,2,0.5262649507393687
2022,SE,3,Data Analyst,Analyst,102100,USD,102100,US,100,US,M,2,-0.16376410876256203
2022,SE,3,Data Analyst,Analyst,84900,USD,84900,US,100,US,M,2,-0.41154072303047873
2022,SE,3,Data Scientist,Scientist,136620,USD,136620,US,100,US,M,2,0.33351779382630325
2022,SE,3,Data Scientist,Scientist,99360,USD,99360,US,100,US,M,2,-0.20323549964012552
2022,SE,3,Data Scientist,Scientist,146000,USD,146000,US,100,US,M,2,0.46864248230496947
2022,SE,3,Data Scientist,Scientist,123000,USD,123000,US,100,US,M,2,0.13731328880717392
2022,SE,3,Data Analyst,Analyst,99000,USD,99000,US,0,US,M,2,-0.20842152179922144
2022,SE,3,Data Analyst,Analyst,116000,USD,116000,US,0,US,M,2,0.036473969046975266
2022,MI,2,Data Analyst,Analyst,106260,USD,106260,US,0,US,M,2,-0.10383674159078685
2022,MI,2,Data Analyst,Analyst,126500,USD,126500,US,0,US,M,2,0.18773294868727322
2022,EX,4,Data Engineer,Engineer,242000,USD,242000,US,100,US,M,2,1.8515817247305508
2022,EX,4,Data Engineer,Engineer,200000,USD,200000,US,100,US,M,2,1.246545806169359
2022,SE,3,Data Scientist,Scientist,165220,USD,165220,US,100,US,M,2,0.7455184431322578
2022,SE,3,Data Scientist,Scientist,120160,USD,120160,US,100,US,M,2,0.09640133621875047
2022,SE,3,Data Analyst,Analyst,90320,USD,90320,US,100,US,M,2,-0.33346227830186775
2022,SE,3,Data Engineer,Engineer,181940,USD,181940,US,0,US,M,2,0.9863803611880465
2022,SE,3,Data Engineer,Engineer,132320,USD,132320,US,0,US,M,2,0.2715736402593241
2022,SE,3,Data Engineer,Engineer,220110,USD,220110,US,0,US,M,2,1.5362427662233011
2022,SE,3,Data Engineer,Engineer,160080,USD,160080,US,0,US,M,2,0.6714735711940547
2022,SE,3,Data Scientist,Scientist,180000,USD,180000,US,0,US,L,3,0.9584334639973628
2022,SE,3,Data Scientist,Scientist,120000,USD,120000,US,0,US,L,3,0.09409643748137449
2022,SE,3,Data Analyst,Analyst,124190,USD,124190,US,100,US,M,2,0.1544559731664077
2022,EX,4,Data Analyst,Analyst,130000,USD,130000,US,100,US,M,2,0.23815260856737255
2022,EX,4,Data Analyst,Analyst,110000,USD,110000,US,100,US,M,2,-0.04995973360462357
2022,SE,3,Data Analyst,Analyst,170000,USD,170000,US,100,US,M,2,0.8143772929113648
2022,MI,2,Data Analyst,Analyst,115500,USD,115500,US,100,US,M,2,0.02927116049267536
2022,SE,3,Data Analyst,Analyst,112900,USD,112900,US,100,US,M,2,-0.008183443989684135
2022,SE,3,Data Analyst,Analyst,90320,USD,90320,US,100,US,M,2,-0.33346227830186775
2022,SE,3,Data Analyst,Analyst,112900,USD,112900,US,100,US,M,2,-0.008183443989684135
2022,SE,3,Data Analyst,Analyst,90320,USD,90320,US,100,US,M,2,-0.33346227830186775
2022,SE,3,Data Engineer,Engineer,165400,USD,165400,US,100,US,M,2,0.7481114542118057
2022,SE,3,Data Engineer,Engineer,132320,USD,132320,US,100,US,M,2,0.2715736402593241
2022,MI,2,Data Analyst,Analyst,167000,USD,167000,US,100,US,M,2,0.7711604415855654
2022,SE,3,Data Engineer,Engineer,243900,USD,243900,US,100,US,M,2,1.8789523972368904
2022,SE,3,Data Analyst,Analyst,136600,USD,136600,US,100,US,M,2,0.3332296814841313
2022,SE,3,Data Analyst,Analyst,109280,USD,109280,US,100,US,M,2,-0.06033177792281544
2022,SE,3,Data Engineer,Engineer,128875,USD,128875,US,100,US,M,2,0.22194628932019778
2022,SE,3,Data Engineer,Engineer,93700,USD,93700,US,100,US,M,2,-0.28477129247480043
2022,EX,4,Head of Data Science,Manager/Executive,224000,USD,224000,US,100,US,M,2,1.5922806167757544
2022,EX,4,Head of Data Science,Manager/Executive,167875,USD,167875,US,100,US,M,2,0.7837653565555902
2022,EX,4,Analytics Engineer,Engineer,175000,USD,175000,US,100,US,M,2,0.8864053784543638
2022,SE,3,Data Engineer,Engineer,156600,USD,156600,US,100,US,M,2,0.6213420236561275
2022,SE,3,Data Engineer,Engineer,108800,USD,108800,US,0,US,M,2,-0.06724647413494335
2022,SE,3,Data Scientist,Scientist,95550,USD,95550,US,0,US,M,2,-0.2581209008238908
2022,SE,3,Data Engineer,Engineer,113000,USD,113000,US,0,US,L,3,-0.006742882278824155
2022,SE,3,Data Analyst,Analyst,135000,USD,135000,US,100,US,M,2,0.3101806941103716
2022,SE,3,Data Science Manager,Manager/Executive,161342,USD,161342,US,100,US,M,2,0.6896534599851077
2022,SE,3,Data Science Manager,Manager/Executive,137141,USD,137141,US,100,US,M,2,0.3410231203398838
2022,SE,3,Data Scientist,Scientist,167000,USD,167000,US,100,US,M,2,0.7711604415855654
2022,SE,3,Data Scientist,Scientist,123000,USD,123000,US,100,US,M,2,0.13731328880717392
2022,SE,3,Data Scientist,Scientist,150000,USD,150000,US,0,US,M,2,0.5262649507393687
2022,SE,3,Data Scientist,Scientist,211500,USD,211500,US,100,US,M,2,1.4122104029182567
2022,SE,3,Data Engineer,Engineer,160000,USD,160000,US,0,US,L,3,0.6703211218253667
2022,SE,3,Data Scientist,Scientist,138600,USD,138600,US,100,US,M,2,0.3620409157013309
2022,SE,3,Data Engineer,Engineer,136000,USD,136000,US,0,US,M,2,0.3245863112189714
2022,MI,2,Data Analyst,Analyst,58000,USD,58000,US,0,US,S,1,-0.7990518232518136
2022,EX,4,Analytics Engineer,Engineer,135000,USD,135000,US,100,US,M,2,0.3101806941103716
2022,SE,3,Data Scientist,Scientist,170000,USD,170000,US,100,US,M,2,0.8143772929113648
2022,SE,3,Data Scientist,Scientist,123000,USD,123000,US,100,US,M,2,0.13731328880717392
2022,SE,3,Machine Learning Engineer,Engineer,189650,USD,189650,US,0,US,M,2,1.097447669095351
2022,SE,3,Machine Learning Engineer,Engineer,164996,USD,164996,US,0,US,M,2,0.7422915848999314
2022,SE,3,Data Analyst,Analyst,132000,USD,132000,US,0,US,M,2,0.2669638427845722
2022,SE,3,Data Engineer,Engineer,165400,USD,165400,US,100,US,M,2,0.7481114542118057
2022,SE,3,Data Architect,Architect,208775,USD,208775,US,100,US,M,2,1.3729550962973223
2022,SE,3,Data Architect,Architect,147800,USD,147800,US,100,US,M,2,0.4945725931004491
2022,SE,3,Data Engineer,Engineer,136994,USD,136994,US,100,US,M,2,0.3389054946249196
2022,SE,3,Data Engineer,Engineer,101570,USD,101570,US,100,US,M,2,-0.17139908583011995
2022,SE,3,Data Analyst,Analyst,128875,USD,128875,US,100,US,M,2,0.22194628932019778
2022,SE,3,Data Analyst,Analyst,93700,USD,93700,US,100,US,M,2,-0.28477129247480043
2022,SE,3,Data Engineer,Engineer,132320,USD,132320,US,100,US,M,2,0.2715736402593241
2022,SE,3,Data Analyst,Analyst,164000,USD,164000,US,0,US,M,2,0.727943590259766
2022,SE,3,Data Engineer,Engineer,155000,USD,155000,US,100,US,M,2,0.5982930362823677
2022,MI,2,AI Scientist,Scientist,120000,USD,120000,US,0,US,M,2,0.09409643748137449
2022,SE,3,Data Analyst,Analyst,112900,USD,112900,US,100,US,M,2,-0.008183443989684135
2022,SE,3,Data Analyst,Analyst,90320,USD,90320,US,100,US,M,2,-0.33346227830186775
2022,SE,3,Data Analytics Manager,Manager/Executive,145000,USD,145000,US,100,US,M,2,0.45423686519636963
2022,SE,3,Data Analytics Manager,Manager/Executive,105400,USD,105400,US,100,US,M,2,-0.11622557230418268
2022,SE,3,Data Scientist,Scientist,215300,USD,215300,US,100,US,L,3,1.466951747930936
2022,SE,3,Data Scientist,Scientist,158200,USD,158200,US,100,US,L,3,0.644391011029887
2022,SE,3,Data Engineer,Engineer,209100,USD,209100,US,100,US,L,3,1.3776369218576172
2022,SE,3,Data Engineer,Engineer,154600,USD,154600,US,100,US,L,3,0.5925307894389278
2022,SE,3,Data Analyst,Analyst,115934,USD,115934,US,0,US,M,2,0.035523198317807675
2022,SE,3,Data Analyst,Analyst,81666,USD,81666,US,0,US,M,2,-0.4581284887596905
2022,SE,3,Data Engineer,Engineer,175000,USD,175000,US,100,US,M,2,0.8864053784543638
2022,MI,2,Data Analyst,Analyst,58000,USD,58000,US,0,US,S,1,-0.7990518232518136
2022,SE,3,Data Engineer,Engineer,183600,USD,183600,US,100,US,L,3,1.0102936855883222
2022,SE,3,Data Scientist,Scientist,180000,USD,180000,US,100,US,M,2,0.9584334639973628
2022,SE,3,Data Scientist,Scientist,260000,USD,260000,US,100,US,M,2,2.110882832685347
2022,MI,2,Data Engineer,Engineer,63900,USD,63900,US,0,US,M,2,-0.7140586823110746
2022,MI,2,Machine Learning Scientist,Scientist,160000,USD,160000,US,100,US,L,3,0.6703211218253667
2022,MI,2,Machine Learning Scientist,Scientist,112300,USD,112300,US,100,US,L,3,-0.01682681425484402
2022,MI,2,Data Science Manager,Manager/Executive,241000,USD,241000,US,100,US,M,2,1.837176107621951
2022,MI,2,Data Science Manager,Manager/Executive,159000,USD,159000,US,100,US,M,2,0.655915504716767
2022,SE,3,Data Scientist,Scientist,180000,USD,180000,US,0,US,M,2,0.9584334639973628
2022,SE,3,Data Scientist,Scientist,80000,USD,80000,US,0,US,M,2,-0.4821282468626178
2022,MI,2,Data Engineer,Engineer,82900,USD,82900,US,0,US,M,2,-0.44035195724767834
2022,SE,3,Data Engineer,Engineer,100800,USD,100800,US,100,US,L,3,-0.1824914110037418
2022,SE,3,Data Scientist,Scientist,140400,USD,140400,US,0,US,L,3,0.38797102649681053
2022,SE,3,Machine Learning Engineer,Engineer,189650,USD,189650,US,0,US,M,2,1.097447669095351
2022,SE,3,Machine Learning Engineer,Engineer,164996,USD,164996,US,0,US,M,2,0.7422915848999314
2022,SE,3,Data Scientist,Scientist,215300,USD,215300,US,0,US,L,3,1.466951747930936
2022,SE,3,Data Engineer,Engineer,209100,USD,209100,US,100,US,L,3,1.3776369218576172
2022,SE,3,Data Engineer,Engineer,154600,USD,154600,US,100,US,L,3,0.5925307894389278
2022,SE,3,Data Engineer,Engineer,180000,USD,180000,US,100,US,M,2,0.9584334639973628
2022,SE,3,Data Engineer,Engineer,80000,USD,80000,US,100,US,M,2,-0.4821282468626178
2022,MI,2,Machine Learning Engineer,Engineer,120000,USD,120000,US,100,US,S,1,0.09409643748137449
2022,EN,1,Computer Vision Engineer,Engineer,125000,USD,125000,US,0,US,M,2,0.16612452302437353
2022,MI,2,NLP Engineer,Engineer,240000,CNY,37236,US,50,US,L,3,-1.0981700568947799
2022,SE,3,Data Engineer,Engineer,105000,USD,105000,US,100,US,M,2,-0.1219878191476226
2022,EN,1,Financial Data Analyst,Analyst,100000,USD,100000,US,50,US,L,3,-0.19401590469062163
2022,EN,1,Data Engineer,Engineer,120000,USD,120000,US,100,US,M,2,0.09409643748137449
2022,SE,3,Research Scientist,Scientist,144000,USD,144000,US,50,US,L,3,0.43983124808776985
2022,SE,3,Data Scientist,Scientist,104890,USD,104890,US,100,US,M,2,-0.12357243702956859
2022,SE,3,Data Engineer,Engineer,100000,USD,100000,US,100,US,M,2,-0.19401590469062163
2022,SE,3,Data Scientist,Scientist,140000,USD,140000,US,100,US,M,2,0.38220877965337063
2022,MI,2,Data Analyst,Analyst,135000,USD,135000,US,100,US,M,2,0.3101806941103716
2022,MI,2,Data Analyst,Analyst,50000,USD,50000,US,100,US,M,2,-0.914296760120612
2022,SE,3,Data Scientist,Scientist,220000,USD,220000,US,100,US,M,2,1.534658148341355
2022,SE,3,Data Scientist,Scientist,140000,USD,140000,US,100,US,M,2,0.38220877965337063
2022,SE,3,Data Scientist,Scientist,185100,USD,185100,US,100,US,M,2,1.0319021112512219
2022,SE,3,Machine Learning Engineer,Engineer,220000,USD,220000,US,100,US,M,2,1.534658148341355
2022,MI,2,Data Scientist,Scientist,200000,USD,200000,US,100,US,M,2,1.246545806169359
2022,MI,2,Data Scientist,Scientist,120000,USD,120000,US,100,US,M,2,0.09409643748137449
2022,EX,4,Data Engineer,Engineer,216000,USD,216000,US,100,US,M,2,1.477035679906956
2022,SE,3,Data Engineer,Engineer,210000,USD,210000,US,100,US,M,2,1.390601977255357
2022,SE,3,Machine Learning Engineer,Engineer,120000,USD,120000,US,100,US,M,2,0.09409643748137449
2022,SE,3,Data Scientist,Scientist,230000,USD,230000,US,100,US,M,2,1.6787143194273533
2022,SE,3,Head of Data,Manager/Executive,200000,USD,200000,MY,100,US,M,2,1.246545806169359
2022,SE,3,Data Scientist,Scientist,100000,USD,100000,BR,100,US,M,2,-0.19401590469062163
2022,MI,2,Machine Learning Scientist,Scientist,153000,USD,153000,US,50,US,M,2,0.5694818020651681
2022,SE,3,Data Scientist,Scientist,165000,USD,165000,US,100,US,M,2,0.7423492073683657
2022,SE,3,Data Engineer,Engineer,115000,USD,115000,US,100,US,M,2,0.022068351938375457
2022,MI,2,Applied Machine Learning Scientist,Scientist,75000,USD,75000,BO,100,US,L,3,-0.5541563324056168
2022,EN,1,Research Scientist,Scientist,120000,USD,120000,US,100,US,L,3,0.09409643748137449
2022,MI,2,Applied Data Scientist,Scientist,157000,USD,157000,US,100,US,L,3,0.6271042704995673
2022,EN,1,Data Engineer,Engineer,65000,USD,65000,US,100,US,S,1,-0.6982125034916149
2022,MI,2,Data Scientist,Scientist,48000,USD,48000,RU,100,US,S,1,-0.9431079943378116
2022,SE,3,Data Science Manager,Manager/Executive,152500,USD,152500,US,100,US,M,2,0.5622789935108682
2022,MI,2,Data Scientist,Scientist,135000,USD,135000,US,100,US,L,3,0.3101806941103716
2022,SE,3,Applied Data Scientist,Scientist,177000,USD,177000,US,100,US,L,3,0.9152166126715635
2022,MI,2,Data Scientist,Scientist,78000,USD,78000,US,100,US,M,2,-0.5109394810798173
2022,SE,3,Data Analyst,Analyst,135000,USD,135000,US,100,US,M,2,0.3101806941103716
2022,SE,3,Data Analyst,Analyst,100000,USD,100000,US,100,US,M,2,-0.19401590469062163
2022,SE,3,Data Analyst,Analyst,90320,USD,90320,US,100,US,M,2,-0.33346227830186775
2022,SE,3,Machine Learning Engineer,Engineer,214000,USD,214000,US,100,US,M,2,1.4482244456897564
2022,SE,3,Machine Learning Engineer,Engineer,192600,USD,192600,US,100,US,M,2,1.1399442395657204
2022,SE,3,Data Architect,Architect,266400,USD,266400,US,100,US,M,2,2.203078782180386
2022,SE,3,Data Architect,Architect,213120,USD,213120,US,100,US,M,2,1.4355475026341884
2022,SE,3,Data Analyst,Analyst,112900,USD,112900,US,100,US,M,2,-0.008183443989684135
2022,SE,3,Data Engineer,Engineer,155000,USD,155000,US,100,US,M,2,0.5982930362823677
2022,MI,2,Data Scientist,Scientist,141300,USD,141300,US,0,US,M,2,0.4009360818945504
2022,MI,2,Data Scientist,Scientist,102100,USD,102100,US,0,US,M,2,-0.16376410876256203
2022,SE,3,Data Analyst,Analyst,115934,USD,115934,US,100,US,M,2,0.035523198317807675
2022,SE,3,Data Analyst,Analyst,81666,USD,81666,US,100,US,M,2,-0.4581284887596905
2022,MI,2,Data Engineer,Engineer,206699,USD,206699,US,0,US,M,2,1.3430490351798692
2022,MI,2,Data Engineer,Engineer,99100,USD,99100,US,0,US,M,2,-0.20698096008836148
2022,SE,3,Data Engineer,Engineer,130000,USD,130000,US,100,US,M,2,0.23815260856737255
2022,SE,3,Data Engineer,Engineer,115000,USD,115000,US,100,US,M,2,0.022068351938375457
2022,SE,3,Data Engineer,Engineer,110500,USD,110500,US,100,US,M,2,-0.04275692505032367
2022,SE,3,Data Engineer,Engineer,130000,USD,130000,US,100,US,M,2,0.23815260856737255
